id_cliente,nombre,apellido,dni,email,telefono,direccion,ciudad,provincia,activo
1,Laura,Gómez,32456789,laura@gmail.com,1145678901,Av. Rivadavia 1234,Buenos Aires,Buenos Aires,True
2,Martín,Pérez,29543210,martin@gmail.com,1134567890,Calle Mitre 450,Rosario,Santa Fe,True
3,Sofía,López,40321876,sofia@gmail.com,1123456789,Av. Santa Fe 2200,Córdoba,Córdoba,False
4,Andrés,Fernández,38543987,andres@gmail.com,1167890123,Calle Belgrano 700,Mendoza,Mendoza,True
5,Carla,Ruiz,31567890,carla@gmail.com,1178901234,Av. Corrientes 3200,La Plata,Buenos Aires,True
6,Felicidad,Ferrer,44851387,felicidad.ferrer@hotmail.com,1131716131,Via de Violeta Moll 18,San Rafael,Mendoza,False
7,Mario,Berenguer,35394590,mario.berenguer@hotmail.com,1143107765,C. Aureliano Cuenca 385,San Miguel de Tucumán,Tucumán,True
8,Josefa,Céspedes,24659565,josefa.céspedes@hotmail.com,1138462655,Cañada de Severiano Pazos 32,Salta,Salta,True
9,Loida,Ibañez,33802155,loida.ibañez@hotmail.com,1158017941,Vial de Julieta Prats 47,Santa Fe,Santa Fe,False
10,Anastasia,Vives,33297383,anastasia.vives@yahoo.com,1154001977,Pasadizo de Amanda Vega 16,Cafayate,Salta,True
11,Florencio,Dalmau,41772505,florencio.dalmau@yahoo.com,1171068007,Acceso de Albano Perez 9,San Miguel de Tucumán,Tucumán,True
12,Macario,Batlle,42742069,macario.batlle@yahoo.com,1119612991,Pasaje de Berta Acosta 7,Salta,Salta,False
13,Cándida,Adán,28332049,cándida.adán@hotmail.com,1167213183,Pasadizo Ariel Becerra 790,La Plata,Buenos Aires,True
14,Diana,Cepeda,46709148,diana.cepeda@hotmail.com,1159773587,Pasadizo de Alma Cal 8,Santa Fe,Santa Fe,False
15,Maxi,Bello,43940502,maxi.bello@yahoo.com,1171073309,Glorieta de Valentina Salcedo 17,Rafaela,Santa Fe,True
16,Luis Miguel,Montalbán,47891445,luis miguel.montalbán@hotmail.com,1177348876,Pasaje de Coral Segura 311,Rafaela,Santa Fe,True
17,Jeremías,Valero,44323387,jeremías.valero@gmail.com,1110296457,Pasaje Luis Pla 57,Salta,Salta,False
18,Ricardo,Barral,29869469,ricardo.barral@yahoo.com,1196382450,Cuesta Bernarda Huguet 32,La Plata,Buenos Aires,True
19,Asunción,Casanovas,28434191,asunción.casanovas@hotmail.com,1115103225,Ronda Tadeo Sainz 33,La Plata,Buenos Aires,True
20,Etelvina,Bernad,20063236,etelvina.bernad@gmail.com,1148763229,Glorieta Begoña Company 682,Cafayate,Salta,False
21,Josefina,Arcos,20308811,josefina.arcos@gmail.com,1120167708,Via Victoriano Villena 29,San Miguel de Tucumán,Tucumán,True
